Station_Station,Ag District_Ag District,Last Updated_Last Updated,Current_Air Temp,Current_Wind Dir,Current_Wind Speed,Current_Peak Gust,Current_Rel Hum,Current_Dew Point Temp,Current_Est. Wet-bulb Temp,Current_Est. ΔT,Current_Inversion 9/1.5 m,Current_Inversion 3/0.5 m,Current_Bare Soil Temp,Current_Turf Soil Temp,Current_Solar Rad,Current_Sea-level Baro Press,Yest's Total Rain_Yest's Total Rain,Today's Total Rain_Today's Total Rain,Last Hour's Total Rain_Last Hour's Total Rain,Today's Max Air Temp_Today's Max Air Temp,Today's Min Air Temp_Today's Min Air Temp,Today's Peak Gust_Today's Peak Gust,Fetched_At_UTC
Finley 1NNW,ND-EC,22 Aug 09:40 CDT,64°,NE,7 mph,12 mph,65 %,52°,57°,7°,---,-5°,63°,63°,446 W/m²,---,"0.00""","0.00""","0.00""",65° (09:40),52° (06:09),12 mph (09:39),2026-08-22T14:43:57.076250
Forest River 7WNW,ND-NE,22 Aug 09:40 CDT,64°,NNW,5 mph,8 mph,74 %,55°,59°,5°,---,-2°,63°,62°,461 W/m²,1021.8 mb,"0.00""","0.00""","0.00""",64° (09:40),53° (04:46),9 mph (09:09),2026-08-22T14:43:57.076250
Fort Yates 2W,ND-SC,22 Aug 09:40 CDT,66°,NNE,5 mph,7 mph,68 %,55°,59°,7°,---,-3°,66°,69°,450 W/m²,1024.6 mb,"0.00""","0.00""","0.00""",66° (09:34),49° (06:51),8 mph (09:34),2026-08-22T14:43:57.076250
Fortuna 4N,ND-NW,22 Aug 09:40 CDT,62°,SSE,6 mph,10 mph,68 %,52°,56°,6°,-1°,-3°,62°,62°,370 W/m²,1026.3 mb,"0.03""","0.00""","0.00""",62° (09:38),52° (06:48),14 mph (08:20),2026-08-22T14:43:57.076250
Fosston 6SW,MN-NW,22 Aug 09:40 CDT,63°,NNW,6 mph,11 mph,80 %,56°,59°,4°,-1°,-2°,64°,65°,452 W/m²,1022.7 mb,"0.00""","0.00""","0.00""",63° (09:40),51° (06:56),11 mph (08:56),2026-08-22T14:43:57.076250
Fountain 3W,MN-SE,22 Aug 09:40 CDT,69°,NNW,5 mph,8 mph,76 %,61°,64°,5°,-1°,-4°,77°,64°,483 W/m²,1018.0 mb,"0.00""","0.00""","0.00""",70° (09:40),59° (05:49),12 mph (09:08),2026-08-22T14:43:57.076250
Four Bears 5NW,ND-WC,22 Aug 09:40 CDT,64°,ESE,3 mph,6 mph,67 %,53°,57°,7°,---,-2°,65°,65°,405 W/m²,---,"0.00""","0.00""","0.00""",64° (09:40),44° (07:14),9 mph (09:31),2026-08-22T14:43:57.076250
Fox 4NE,MN-NW,22 Aug 09:40 CDT,61°,NNW,6 mph,9 mph,90 %,58°,59°,2°,---,-1°,61°,62°,462 W/m²,1022.3 mb,"0.45""","0.00""","0.00""",61° (09:40),50° (06:49),10 mph (09:32),2026-08-22T14:43:57.076250
Foxhome 4E,MN-WC,22 Aug 09:40 CDT,66°,N,5 mph,8 mph,80 %,59°,61°,4°,0°,0°,62°,65°,454 W/m²,1022.3 mb,"0.06""","0.00""","0.00""",66° (09:40),52° (06:25),11 mph (09:29),2026-08-22T14:43:57.076250
Froid 5S,MT-NE,22 Aug 09:40 CDT,64°,SE,5 mph,11 mph,62 %,51°,56°,8°,-1°,-1°,60°,60°,308 W/m²,1024.7 mb,"0.11""","0.00""","0.00""",64° (09:40),46° (05:16),11 mph (09:35),2026-08-22T14:43:57.076250
